id,Typologie cadeau,Cadeau,Lien,image_url,Tranche d'âge,Budget cible,Prix,Occasion,Activités / Centres d'intérêts,Relation,Personnalité / Préférences,Genre,Tags,Catégorie de Produit,Évaluations Produit,Marque,Options de Personnalisation,Éco-responsable,Couleur,Dimensions,Matériau,Description,,,,,,,,,,,,,,
11,Equipement sportif,Gym ball,https://www.amazon.fr/Sveltus-Gymball-75-cm/dp/B073GR744S/ref=sr_1_9?__mk_fr_FR=%25C3%2585M%25C3%2585%25C5%25BD%25C3%2595%25C3%2591&amp,keywords=gym+ball&amp,sr=8-9&_encoding=UTF8&tag=prezent09-21&linkCode=ur2&linkId=17e6edc6f32f6df9c9a89e05bbc3877a&camp=1642&creative=6746,https://m.media-amazon.com/images/I/81O9OW2SZYL.__AC_SY300_SX300_QL70_ML2_.jpg,18 - 28 ans,5 - 20 €,16€,,Yoga,Amis,Se détendre,Homme,adulte, sport ,Sport ,4.1,,Non,Non,Violet,76 cm,Polychlorure de vinyle,"""Profitez de cette ball pour effectuer du sport ou simplement des exercices de détente chez vous ou en extérieur.""",,,,,,,,,,,
12,Jeux,Boules de pétanque,https://www.amazon.fr/Garden-Games-p%25C3%25A9tanque-Sacoche-Transport/dp/B00BAP2DMC/ref=sr_1_6?keywords=boules+de+p%25C3%25A9tanque&amp,sr=8-6&_encoding=UTF8&tag=prezent09-21&linkCode=ur2&linkId=5430425d6b7ec8bab32513b2322e4cfe&camp=1642&creative=6746,https://m.media-amazon.com/images/I/71BdK4DSehL.__AC_SX300_SY300_QL70_ML2_.jpg,28 - 40 ans,50 - 75 €,42€,Anniversaire,Activités en plein air,Amis,Sociable,Homme,adulte, activité,Jeux, Sport ,4.3,Big Game Hunters,Non,Non,Argent,"35,99 x 10,01 x 19 cm",Métal,"""Ce fabuleux jeux en pleine air a eu un succès fou en France. Optez pour une activité drôle en famille ou entre amis""",,,,,,,,,,,
13,Jeux,Boules de pétanque,https://www.amazon.fr/Garden-Games-p%25C3%25A9tanque-Sacoche-Transport/dp/B00BAP2DMC/ref=sr_1_6?keywords=boules+de+p%25C3%25A9tanque&amp,sr=8-6&_encoding=UTF8&tag=prezent09-21&linkCode=ur2&linkId=5430425d6b7ec8bab32513b2322e4cfe&camp=1642&creative=6746,https://m.media-amazon.com/images/I/71BdK4DSehL.__AC_SX300_SY300_QL70_ML2_.jpg,28 - 40 ans,50 - 75 €,42€,Noël,Activités en plein air,Amis,Sociable,Homme,adulte, activité,Jeux, Sport ,4.3,Big Game Hunters,Non,Non,Argent,"35,99 x 10,01 x 19 cm",Métal,"""Ce fabuleux jeux en pleine air a eu un succès fou en France. Optez pour une activité drôle en famille ou entre amis""",,,,,,,,,,,
14,Equipement sportif,Set de golf,https://www.amazon.fr/Callaway-2019-pour-Complet-12-pi%25C3%25A8ces-Package/dp/B07H2HQJR5/ref=sr_1_6?__mk_fr_FR=%25C3%2585M%25C3%2585%25C5%25BD%25C3%2595%25C3%2591&amp,keywords=set+de+golf&amp,sr=8-6&_encoding=UTF8&tag=prezent09-21&linkCode=ur2&linkId=c64a19ae0b7609ab8f340b377fc504fe&camp=1642&creative=6746,https://www.amazon.fr/Callaway-2019-pour-Complet-12-pi%25C3%25A8ces-Package/dp/B07H2HQJR5/ref=sr_1_6?__mk_fr_FR=%25C3%2585M%25C3%2585%25C5%25BD%25C3%2595%25C3%2591&amp=undefined&keywords=set%2Bde%2Bgolf&sr=8-6&_encoding=UTF8&tag=prezent09-21&linkCode=ur2&linkId=c64a19ae0b7609ab8f340b377fc504fe&camp=1642&creative=6746&th=1,28 - 40 ans,100 € +,352€,Noël,Activités en plein air,Famille,N/A,Homme,adulte, activité ,Jeux ,4.3,Callaway ,Non,Non,Bleu,"‎121,92 x 27,94 x 27,94 cm",Aluminium ,"""Ce magnifique équipement va sûrement faire des jaloux et réjouir celui ou celle qui va le recevoir. Optez pour une activité agréable à faire seul ou en famille""",,,,,,,,,,,
15,Equipement sportif,Set de golf,https://www.amazon.fr/Callaway-2019-pour-Complet-12-pi%25C3%25A8ces-Package/dp/B07H2HQJR5/ref=sr_1_6?__mk_fr_FR=%25C3%2585M%25C3%2585%25C5%25BD%25C3%2595%25C3%2591&amp,keywords=set+de+golf&amp,sr=8-6&_encoding=UTF8&tag=prezent09-21&linkCode=ur2&linkId=c64a19ae0b7609ab8f340b377fc504fe&camp=1642&creative=6746,https://www.amazon.fr/Callaway-2019-pour-Complet-12-pi%25C3%25A8ces-Package/dp/B07H2HQJR5/ref=sr_1_6?__mk_fr_FR=%25C3%2585M%25C3%2585%25C5%25BD%25C3%2595%25C3%2591&amp=undefined&keywords=set%2Bde%2Bgolf&sr=8-6&_encoding=UTF8&tag=prezent09-21&linkCode=ur2&linkId=c64a19ae0b7609ab8f340b377fc504fe&camp=1642&creative=6746&th=1,28 - 40 ans,100 € +,352€,Noël,Activités en plein air,Famille,N/A,Homme,adulte, activité,Jeux,4.3,Callaway ,Non,Non ,Bleu,"‎""121,92 x 27,94 x 27,94 cm""",Aluminium ,"""Ce magnifique équipement va sûrement faire des jaloux et réjouir celui ou celle qui va le recevoir. Optez pour une activité agréable à faire seul ou en famille """,,,,,,,,,,,
16,Tech,Ecouteurs bluetooth,https://www.amazon.fr/%25C3%2589couteurs-Bluetooth-lntelligent-Automatique-Oreillette/dp/B0BS16VF7K/ref=sr_1_3?keywords=%25C3%25A9couteur+bluetooth&amp,refinements=p_36%253A680943011&amp,rnid=389179011&amp,s=electronics&amp,sr=1-3&_encoding=UTF8&tag=prezent09-21&linkCode=ur2&linkId=4f865a581ab27f1505e0ec216b2582de&camp=1642&creative=6746,https://m.media-amazon.com/images/I/61HyRh9AEdL.__AC_SX300_SY300_QL70_ML2_.jpg,18 - 28 ans,5 - 20 €,,Anniversaire,Musique,Famille,N/A,Mixte,appareil connecté, écouteurs,Hight-Tech,3.6,Tonomo,Non,Non,Noir,N/A,Acier,"""Optez pour cet indispensable qui vous permettra de profiter à l'intérieur comme à l'extérieur de créer votre bullle. Prezent vous propose le cadeau idéal pour un adulte comme pour un adolescent""",,,,,,,,,
17,Tech,Ecouteurs bluetooth,https://www.amazon.fr/Ecouteurs-Bluetooth-%25C3%2589couteurs-R%25C3%25A9duction-Contr%25C3%25B4le/dp/B0BP7HKMNH/ref=sr_1_6?keywords=%25C3%25A9couteur+bluetooth&amp,refinements=p_36%253A680944011&amp,rnid=389179011&amp,s=electronics&amp,sr=1-6&_encoding=UTF8&tag=prezent09-21&linkCode=ur2&linkId=f1ee0b4868bddf29ac3c7cd517c496b7&camp=1642&creative=6746,https://m.media-amazon.com/images/I/61fMZSx2XtL._AC_SL1500_.jpg,28 - 40 ans,20 - 35 €,30€,Noël,Sport,Amoureux/se,N/A,Mixte,appareil connecté, écouteurs,Hight-Tech,4.3,Godyse,Non,Non ,Blanc,N/A,Acier ,"""Optez pour cet indispensable qui vous permettra de profiter à l'intérieur comme à l'extérieur de créer votre bullle. Prezent vous propose le cadeau idéal pour un adulte comme pour un adolescent""",,,,,,,,,
18,Equipement sportif,Ballon de basket,https://www.amazon.fr/Wilson-Mini-Basketball-caoutchouc-Orange/dp/B01MUPZEZE/ref=sr_1_5?__mk_fr_FR=%25C3%2585M%25C3%2585%25C5%25BD%25C3%2595%25C3%2591&amp,keywords=ballon+de+basket&amp,sr=8-5&_encoding=UTF8&tag=prezent09-21&linkCode=ur2&linkId=2135ba7c6cf2896cb341c6b5df3d4d2b&camp=1642&creative=6746,https://m.media-amazon.com/images/I/81xzG9wUd0L.__AC_SX300_SY300_QL70_ML2_.jpg,12 - 18 ans,5 - 20 €,17€,Anniversaire,Sport,Famille,N/A,Homme,adolescent, sport,Sport,4.5,Wilson,Non,Non,Noir/Bleu,"‎""22,86 x 22,86 x 22,86 cm""",100% Mélangé,"""Ce ballon réjouira plus d'un. Consacrez votre temps libre tout seul ou en famille à vous adonner avec plaisir au basket""",,,,,,,,,,,
19,Equipement sportif,Kit badmington,https://www.amazon.fr/dp/B08BS57K7V/ref=sspa_dk_detail_2?psc=1&amp,pd_rd_i=B08BS57K7V&amp,pd_rd_w=3yNgV&amp,content-id=amzn1.sym.a65583b8-36db-4b44-b29e-88a5ed95007c&amp,pf_rd_p=a65583b8-36db-4b44-b29e-88a5ed95007c&amp,pf_rd_r=0K3909PGDYP396J0GNKA&amp,pd_rd_wg=roGgu&amp,pd_rd_r=6ca7ece9-77ee-4b0d-a689-9fe1539438e2&amp,s=kitchen&amp,sp_csd=d2lkZ2V0TmFtZT1zcF9kZXRhaWw&_encoding=UTF8&tag=prezent09-21&linkCode=ur2&linkId=7053ff01cab17ef1c0f198419ca97d68&camp=1642&creative=6746,https://m.media-amazon.com/images/I/61QM8NdEzVL.__AC_SX300_SY300_QL70_ML2_.jpg,12 - 18 ans,5 - 20 €,40€,Anniversaire,Sport,Famille,N/A,Homme,adulte, sport,Sport,4.3,Redfield,Non,Non,Multi, 72L x 23l cm,Acier Allié,"""Ce kit est idéal pour passez un agréable après-midi tout seul ou en famille""",,,,
20,Equipement sportif,Kit badmington,https://www.amazon.fr/dp/B08BS57K7V/ref=sspa_dk_detail_2?psc=1&amp,pd_rd_i=B08BS57K7V&amp,pd_rd_w=3yNgV&amp,content-id=amzn1.sym.a65583b8-36db-4b44-b29e-88a5ed95007c&amp,pf_rd_p=a65583b8-36db-4b44-b29e-88a5ed95007c&amp,pf_rd_r=0K3909PGDYP396J0GNKA&amp,pd_rd_wg=roGgu&amp,pd_rd_r=6ca7ece9-77ee-4b0d-a689-9fe1539438e2&amp,s=kitchen&amp,sp_csd=d2lkZ2V0TmFtZT1zcF9kZXRhaWw&_encoding=UTF8&tag=prezent09-21&linkCode=ur2&linkId=7053ff01cab17ef1c0f198419ca97d68&camp=1642&creative=6746,https://m.media-amazon.com/images/I/61QM8NdEzVL.__AC_SX300_SY300_QL70_ML2_.jpg,18 - 28 ans,20 - 35 €,40€,Noël,Activités en plein air,,N/A,Homme,adulste, sport ,Sport ,4.3,Redfield,Non,Non,Multi, 72L x 23l cm,Acier Allié,"""Ce kit est idéal pour passez un agréable après-midi tout seul ou en famille""",,,,
21,Beauté / bien-être,Coffret cosmétique,https://www.amazon.fr/Marilou-Bio-Hydratation-D%25C3%25A9fatigant-D%25C3%25A9maquillant/dp/B09SV934D4/ref=sr_1_7?__mk_fr_FR=%25C3%2585M%25C3%2585%25C5%25BD%25C3%2595%25C3%2591&amp,keywords=coffret+cosm%25C3%25A9tique&amp,refinements=p_36%253A211725031&amp,rnid=211723031&amp,s=beauty&amp,sr=1-7&_encoding=UTF8&tag=prezent09-21&linkCode=ur2&linkId=ec4588cdef38c0d8de2fdd58c24de9f3&camp=1642&creative=6746,https://m.media-amazon.com/images/I/51j6W6JO+GL._AC_SX522_.jpg,18 - 28 ans,20 - 35 €,24€,Anniversaire,Mode,Famille,Prend soin d'elle,Femme,adulte, soins,Cosmétique,4.2,Marilou Bio,Non,Non,Multi,N/A,Crème, lait,"""Coffret cosmétique apporte une touche de détente bien méritée. Un choix mature pour les adultes qui savourent les plaisirs de la vie.""",,,,,,,
22,Beauté / bien-être,Coffret cosmétique,https://www.amazon.fr/%25C3%2589NERGISANT-Nurture-Nature-essentielles-aromath%25C3%25A9rapie/dp/B09HXRGC14/ref=sr_1_39?__mk_fr_FR=%25C3%2585M%25C3%2585%25C5%25BD%25C3%2595%25C3%2591&amp,keywords=coffret+cosm%25C3%25A9tique&amp,refinements=p_36%253A211726031&amp,rnid=211723031&amp,s=beauty&amp,sr=1-39&_encoding=UTF8&tag=prezent09-21&linkCode=ur2&linkId=fd9d29f79f57420db35d9cdcf69541cf&camp=1642&creative=6746,https://m.media-amazon.com/images/I/91E6QD4+k-L._AC_SY300_SX300_.jpg,28 - 40 ans,35 - 50 €,36€,Noël,Maquillage,Amis,Prend soin d'elle,Femme,adulte,soins,Cosmétique ,4.2,Marilou Bio,Non,Non,Multi,N/A,Crème, lait,"""Coffret cosmétique apporte une touche de détente bien méritée. Un choix mature pour les adultes qui savourent les plaisirs de la vie.""",,,,,,,
23,Utilitaire,Robot cuisine,https://www.amazon.fr/W%25C3%25ABasy-Multifonction-Culinaire-Professionnel-pr%25C3%25A9programm%25C3%25A9es/dp/B07TKLMPJN/ref=sr_1_4?keywords=robot+cuisine&amp,refinements=p_36%253A84665031&amp,rnid=67553031&amp,s=kitchen&amp,sr=1-4&_encoding=UTF8&tag=prezent09-21&linkCode=ur2&linkId=fc759d924f2fbd1af3fabdc51811f413&camp=1642&creative=6746,https://m.media-amazon.com/images/I/71rCi+nFAdL._AC_SY300_SX300_.jpg,18 - 28 ans,50 - 75 €,50€,Noël,Cuisine,Famille,Aime faire plaisir aux autres,Femme,adulte cuisine ,Cuisine,4.2,H.Koenig,Non,Non,Noir,"‎""25,8 x 24 x 40 cm""",,"""mateur ou Expert, Prezent vous propose une aide de plus dans votre cuisine. Utilisez-le comme un allié et épatez vos proches avec des recettes succulentes""",,,,,,,,,,
24,Utilitaire,Robot cuisine,https://www.amazon.fr/W%25C3%25ABasy-Multifonction-Culinaire-Professionnel-pr%25C3%25A9programm%25C3%25A9es/dp/B07TKLMPJN/ref=sr_1_4?keywords=robot+cuisine&amp,refinements=p_36%253A84665031&amp,rnid=67553031&amp,s=kitchen&amp,sr=1-4&_encoding=UTF8&tag=prezent09-21&linkCode=ur2&linkId=fc759d924f2fbd1af3fabdc51811f413&camp=1642&creative=6746,https://m.media-amazon.com/images/I/71rCi+nFAdL._AC_SX569_.jpg,28 - 40 ans,75 - 100 €,50€,Noël,Cuisine,Famille,Aimer cuisiner, faire plaisir,Femme,adulte cuisine ,Cuisine,4.3,Russel Hobbs,Non,Non,Rouge,"""34,9P x 42,8l x 25,4H cm""",,"""Amateur ou Expert, Prezent vous propose une aide de plus dans votre cuisine. Utilisez-le comme un allié et épatez vos proches avec des recettes succulentes""",,,,,,,,,
25,Utilitaire,Robot cuisine,https://www.amazon.fr/Bosch-Electrom%25C3%25A9nager-MC812M844-MultiTalent-MC812M44/dp/B07HPRQJL1/ref=sr_1_4?keywords=robot+cuisine&amp,refinements=p_36%253A10000-30000&amp,rnid=67553031&amp,s=kitchen&amp,sr=1-4&_encoding=UTF8&tag=prezent09-21&linkCode=ur2&linkId=b5d2b54e9cce5e15bfa62ac2fd3f5016&camp=1642&creative=6746,https://m.media-amazon.com/images/I/71g+4jeLdlL._AC_SL1500_.jpg,40 - 50 ans,100 € +,50€,Noël,Cuisine,Famille,Aimer cuisiner, faire plaisir,Femme,adulte cuisine ,Cuisine,4.6,Bosch Professionnals,Noir,Non,Noir ,25P x 30l x 43H cm,,"""Amateur ou Expert, Prezent vous propose une aide de plus dans votre cuisine. Utilisez-le comme un allié et épatez vos proches avec des recettes succulentes""",,,,,,,,,
26,Livre,Livre de cuisine,https://www.amazon.fr/NOPI-Ottolenghi-Yotam-Ottolenghi/dp/2011356830/ref=sr_1_1?keywords=ottolenghi&amp,sr=8-1&_encoding=UTF8&tag=prezent09-21&linkCode=ur2&linkId=e44429bfc740ba8bc67c5d8fece738bb&camp=1642&creative=6746,https://m.media-amazon.com/images/I/41rvvQ6yRdL._SL1130_.jpg,28 - 40 ans,35 - 50 €,38€,Anniversaire,Cuisine,Amis,Aime recevoir chez elle,Femme,adulte cuisine ,Cuisine,4.6,Yotam Hotolenghi,Non,Non,Multi,N/A,,"""Amateur ou Expert, Prezent vous propose une aide de plus dans votre cuisine. Utilisez-le comme un allié et épatez vos proches avec des recettes succulentes""",,,,,,,,,,,,,
27,Livre,Livre de cuisine,https://www.amazon.fr/Manuel-cuisinier-amateur-recettes-techniques/dp/2812321342/ref=sr_1_6?__mk_fr_FR=%25C3%2585M%25C3%2585%25C5%25BD%25C3%2595%25C3%2591&amp,keywords=livre+cuisine&amp,refinements=p_36%253A2000-3500&amp,rnid=389153011&amp,sr=8-6&_encoding=UTF8&tag=prezent09-21&linkCode=ur2&linkId=066792302e677cd20b94230ead365ef6&camp=1642&creative=6746,https://m.media-amazon.com/images/I/61+lXdW9t7L._SL1500_.jpg,18 - 28 ans,20 - 35 €,35€,Anniversaire,Cuisine,Famille,N/A,,adolescent, cuisine,Cuisine ,4.6,Whoogy's,Non,Non,Multi,N/A,,"""Amateur ou Expert, Prezent vous propose une aide de plus dans votre cuisine. Utilisez-le comme un allié et épatez vos proches avec des recettes succulentes""",,,,,,,,,
28,Art,Kit peinture / dessin,https://www.amazon.fr/Artina-Mallette-Leonardo-Ensemble-acrylique/dp/B016WPLWA8/ref=sr_1_13?__mk_fr_FR=%25C3%2585M%25C3%2585%25C5%25BD%25C3%2595%25C3%2591&amp,keywords=kit+peinture&amp,refinements=p_36%253A2000-3500&amp,rnid=67553031&amp,sr=8-13&_encoding=UTF8&tag=prezent09-21&linkCode=ur2&linkId=0c244fe64adb05611c9ebed1f606e801&camp=1642&creative=6746,https://m.media-amazon.com/images/I/81RYWpu5ybL._AC_SL1500_.jpg,12 - 18 ans,20 - 35 €,27€,Noël,Art,Famille,Créatif,Mixte,enfants, jeux ,Art,4.6,Artina,Non,Non,Multi,"""35 x 22,5 x 5 cm""",Peinture,"""Soyez sûr d'obtenir des sourires en offrant ce magnifique coffret de peinture. Et oui les enfants ont autant besoin de se défouler que d'exprimer leur créativité.""",,,,,,,,,
29,Livre,Livre d'apprentissage Joe,https://www.amazon.fr/dp/293041782X/ref=cm_gf_aBN_d_bt30_p0_e0_qd0_GuU2lLvN99JeJob6stjn?&_encoding=UTF8&tag=prezent09-21&linkCode=ur2&linkId=e1fa8eedceacb1a3c7a604e1a06fd036&camp=1642&creative=6746,https://m.media-amazon.com/images/I/61wcCOqGgJL._AC_SL1500_.jpg,0 - 6 ans,20 - 35 €,23€,Naissance,N/A,Famille,N/A,Mixte,enfants, livre,Livres,4.4,Lilliputiens,Non,Non,Multi,,Polyester,"""Idéal pour les tout-petits, Livre d'apprentissage Joe stimule l'éveil et la curiosité.""",,,,,,,,,,,,,
30,Utilitaire,Couverture bébé,https://www.amazon.fr/dp/B086QNQXRJ/ref=cm_gf_aBN_d_bt30_p0_e0_qd1_e3yjtOGhedP3Fi6wc9cr?&_encoding=UTF8&tag=prezent09-21&linkCode=ur2&linkId=e62e96151e2e7a5db53484c2d59f94b1&camp=1642&creative=6746,https://m.media-amazon.com/images/I/71es-LSoMIL.__AC_SX300_SY300_QL70_ML2_.jpg,0 - 6 ans,20 - 35 €,30€,Naissance,N/A,Famille,N/A,Mixte,enfants, literie,Couettes,4.9,Doudou et Compagnie,Non ,Non,Bleu,100x70 cm,Coton,"""Idéal pour les tout-petits, Couverture bébé stimule l'éveil et la curiosité.""",,,,,,,,,,,,,
